Name                                                                                            Stmts   Miss  Cover
-------------------------------------------------------------------------------------------------------------------
__init__.py                                                                                         0      0   100%
api.py                                                                                             31      1    97%
applications/__init__.py                                                                            0      0   100%
applications/apps.py                                                                                4      0   100%
applications/migrations/0001_initial.py                                                             8      0   100%
applications/migrations/0002_loanapplication_submitted_by_user.py                                   5      0   100%
applications/migrations/0003_systemsequence_loanrequestregisterentry.py                             7      0   100%
applications/migrations/0004_applicationdocument_and_more.py                                        7      0   100%
applications/migrations/0005_application_deficiency.py                                              7      0   100%
applications/migrations/0006_rejection_note.py                                                      7      0   100%
applications/migrations/0007_eligibilityassessment.py                                               7      0   100%
applications/migrations/0008_loanlimitassessment.py                                                 7      0   100%
applications/migrations/0009_loan_limit_policy_snapshot.py                                          4      0   100%
applications/migrations/0010_loanapplication_nominee.py                                             5      0   100%
applications/migrations/0011_witness.py                                                             7      0   100%
applications/migrations/0012_witness_verification_evidence.py                                      19      0   100%
applications/migrations/0013_witness_correction.py                                                  7      0   100%
applications/migrations/0014_witness_contact_fields.py                                              4      0   100%
applications/migrations/__init__.py                                                                 0      0   100%
applications/models.py                                                                            297     27    91%
applications/modules/__init__.py                                                                    0      0   100%
applications/modules/application_authority.py                                                      25      0   100%
applications/modules/document_checklist_facts.py                                                   38      1    97%
applications/modules/document_generation_facts.py                                                  18      1    94%
applications/modules/nominee_validation.py                                                         21      0   100%
applications/modules/rejection_notes.py                                                            20      1    95%
applications/modules/signature_identity_facts.py                                                   32      5    84%
applications/modules/witness_corrections.py                                                       106      8    92%
applications/services.py                                                                          865     75    91%
applications/views.py                                                                             540     65    88%
approvals/__init__.py                                                                               0      0   100%
approvals/apps.py                                                                                   5      0   100%
approvals/management/__init__.py                                                                    0      0   100%
approvals/management/commands/__init__.py                                                           0      0   100%
approvals/management/commands/seed_approval_configuration.py                                       11      2    82%
approvals/migrations/0001_initial.py                                                                8      0   100%
approvals/migrations/0002_approvalcase_workflow_event.py                                           15      4    73%
approvals/migrations/0003_approvalmatrixrule_sanctioncommittee.py                                  16      0   100%
approvals/migrations/0004_approval_configuration_history_constraints.py                             4      0   100%
approvals/migrations/0005_approvalconfigurationproposal.py                                          7      0   100%
approvals/migrations/0006_approvalcase_configuration_snapshot.py                                    5      0   100%
approvals/migrations/0007_approvalcase_enrichment_snapshot.py                                       4      0   100%
approvals/migrations/0008_approvalaction.py                                                         7      0   100%
approvals/migrations/0009_sanction_decision_and_case_closure.py                                     7      0   100%
approvals/migrations/0010_approvalcasereadscopegrant_and_more.py                                   79     10    87%
approvals/migrations/0011_approvalcase_appraisal_facts_json_and_more.py                            23      0   100%
approvals/migrations/0012_approvalconflictdeclaration_and_more.py                                  20      1    95%
approvals/migrations/0013_conflict_projection_scope_closure.py                                     35      2    94%
approvals/migrations/0014_exceptionregisterentry_and_more.py                                        7      0   100%
approvals/migrations/0015_generalmeetingapproval_and_more.py                                        7      0   100%
approvals/migrations/0016_creditsanctionregisterentry.py                                            7      0   100%
approvals/migrations/0017_exceptionregisterentry_supporting_documents_json.py                       4      0   100%
approvals/migrations/0018_creditsanctionregisterentry_source_review_facts_json.py                   4      0   100%
approvals/migrations/0019_register_source_facts.py                                                 23     10    57%
approvals/migrations/0020_approvalaction_approver_display_name.py                                   4      0   100%
approvals/migrations/__init__.py                                                                    0      0   100%
approvals/models.py                                                                               307      0   100%
approvals/modules/__init__.py                                                                       4      0   100%
approvals/modules/approval_actions.py                                                             173      6    97%
approvals/modules/approval_case_engine.py                                                         410     48    88%
approvals/modules/approval_case_projection.py                                                      28      3    89%
approvals/modules/approval_case_selector.py                                                        30      0   100%
approvals/modules/approval_matrix.py                                                               45      4    91%
approvals/modules/approval_matrix_configuration.py                                                306     37    88%
approvals/modules/conflict_of_interest.py                                                          69      0   100%
approvals/modules/document_checklist_access.py                                                     54      5    91%
approvals/modules/document_checklist_facts.py                                                      27      0   100%
approvals/modules/document_generation_facts.py                                                     29      1    97%
approvals/modules/exception_register.py                                                           101     10    90%
approvals/modules/general_meeting.py                                                              141      8    94%
approvals/modules/read_scope.py                                                                    44      2    95%
approvals/modules/sanction_committee.py                                                            29      2    93%
approvals/modules/sanction_handoff.py                                                             218     22    90%
approvals/modules/sanction_register.py                                                            120      8    93%
approvals/views.py                                                                                199     21    89%
communications/__init__.py                                                                          0      0   100%
communications/apps.py                                                                              4      0   100%
communications/migrations/0001_initial.py                                                           6      0   100%
communications/migrations/0002_communication.py                                                     6      0   100%
communications/migrations/0003_notification.py                                                      6      0   100%
communications/migrations/__init__.py                                                               0      0   100%
communications/models.py                                                                           80      0   100%
communications/services.py                                                                        395     43    89%
communications/views.py                                                                            95     12    87%
config/__init__.py                                                                                  0      0   100%
config/settings.py                                                                                 32      2    94%
config/urls.py                                                                                     15      0   100%
configurations/__init__.py                                                                          0      0   100%
configurations/apps.py                                                                              4      0   100%
configurations/migrations/0001_initial.py                                                           8      0   100%
configurations/migrations/0002_version_history_approval_evidence.py                                 4      0   100%
configurations/migrations/__init__.py                                                               0      0   100%
configurations/models.py                                                                           52      0   100%
configurations/modules/__init__.py                                                                  0      0   100%
configurations/modules/configuration_resolver.py                                                   22      2    91%
configurations/services.py                                                                        224     28    88%
configurations/views.py                                                                            71     12    83%
credit/__init__.py                                                                                  1      0   100%
credit/apps.py                                                                                      5      0   100%
credit/migrations/0001_credit_assessment_model_ownership.py                                        20      1    95%
credit/migrations/0002_riskassessment_loanappraisalnote.py                                          7      0   100%
credit/migrations/0003_appraisal_prerequisite_snapshots.py                                         32      1    97%
credit/migrations/0004_appraisal_review_facts.py                                                    4      0   100%
credit/migrations/0005_appraisalreviewdecision.py                                                  33      0   100%
credit/migrations/0006_legacy_appraisal_history_remediation.py                                     20      0   100%
credit/migrations/0007_eligibility_active_member_snapshot.py                                        4      0   100%
credit/migrations/__init__.py                                                                       0      0   100%
credit/models.py                                                                                  125      1    99%
credit/modules/__init__.py                                                                          0      0   100%
credit/modules/appraisal_workflow.py                                                              479     38    92%
credit/modules/borrower_limit_projection.py                                                        50      2    96%
credit/modules/common.py                                                                           43      1    98%
credit/modules/eligibility_assessment.py                                                          143      6    96%
credit/modules/loan_limit_calculator.py                                                           268     27    90%
dashboard/__init__.py                                                                               0      0   100%
dashboard/services.py                                                                              24      1    96%
dashboard/views.py                                                                                 17      0   100%
documents/__init__.py                                                                               0      0   100%
documents/apps.py                                                                                   4      0   100%
documents/migrations/0001_initial.py                                                                8      0   100%
documents/migrations/0002_documenttemplate.py                                                       7      0   100%
documents/migrations/0003_documenttemplateidentity.py                                              10      0   100%
documents/migrations/0004_loandocument.py                                                           7      0   100%
documents/migrations/__init__.py                                                                    0      0   100%
documents/models.py                                                                                59      2    97%
documents/modules/__init__.py                                                                       0      0   100%
documents/modules/document_templates.py                                                           155     15    90%
documents/selectors.py                                                                             41      5    88%
documents/services.py                                                                             144      4    97%
documents/storage.py                                                                               57      2    96%
documents/views.py                                                                                 67      5    93%
domain_errors.py                                                                                   18      0   100%
identity/__init__.py                                                                                0      0   100%
identity/admin_views.py                                                                            97     16    84%
identity/audit_views.py                                                                            16      0   100%
identity/catalogue.py                                                                              37      0   100%
identity/management/__init__.py                                                                     0      0   100%
identity/management/commands/__init__.py                                                            0      0   100%
identity/management/commands/seed_demo_users.py                                                    83      7    92%
identity/management/commands/seed_e2e_users.py                                                     91      2    98%
identity/management/commands/seed_role_catalogue.py                                                 7      0   100%
identity/migrations/0001_initial.py                                                                 8      0   100%
identity/migrations/0002_permission_rolepermission_and_more.py                                      7      0   100%
identity/migrations/0003_portal_member_auth.py                                                      7      0   100%
identity/migrations/__init__.py                                                                     0      0   100%
identity/models.py                                                                                184      5    97%
identity/modules/__init__.py                                                                        0      0   100%
identity/modules/admin_users.py                                                                   125     13    90%
identity/modules/audit_log.py                                                                      60      1    98%
identity/modules/auth_service.py                                                                  105      7    93%
identity/modules/http_auth.py                                                                      31      0   100%
identity/modules/object_permissions.py                                                             36      0   100%
identity/modules/portal_auth_service.py                                                           204     30    85%
identity/modules/tokens.py                                                                         43      4    91%
identity/views.py                                                                                 135     27    80%
legal_documents/__init__.py                                                                         0      0   100%
